date,update_time,slot,old_forecast_kwh,new_raw_forecast_kwh,updated_forecast_kwh,confidence_rho,historical_error_old,historical_error_new
2025-02-01,00:00,109,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,110,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,111,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,112,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,113,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,114,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,115,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,116,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,117,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,118,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,119,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,120,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,121,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,122,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,123,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,124,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,125,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,126,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,127,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,128,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,129,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,130,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,131,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,132,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,133,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,134,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,135,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,136,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,137,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,138,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,139,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,140,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,141,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,142,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,143,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,00:00,144,0.0,0.0,0.0,1.0,0.0,0.0
2025-02-01,06:00,37,9.772738888888888,9.637405555555555,9.688786732856965,0.6203361283146992,0.08495520448903937,0.051995068443022804
2025-02-01,06:00,38,19.545477777777776,19.27481111111111,19.37757346571393,0.6203361283146992,0.08495520448903937,0.051995068443022804
2025-02-01,06:00,39,29.318216666666665,28.912216666666666,29.066360198570898,0.6203361283146992,0.08495520448903937,0.051995068443022804
2025-02-01,06:00,40,39.09095555555555,38.54962222222222,38.75514693142786,0.6203361283146992,0.08495520448903937,0.051995068443022804
2025-02-01,06:00,41,48.86369444444444,48.18702777777777,48.44393366428483,0.6203361283146992,0.08495520448903937,0.051995068443022804
2025-02-01,06:00,42,58.63643333333333,57.82443333333333,58.132720397141796,0.6203361283146992,0.08495520448903937,0.051995068443022804
