date,slot,gamma,observed_count,observed_price_sum,baseline_observed_sum,baseline_price_yuan_per_kwh
2025-12-10,74,1.0495072712888893,74,59.10189999999999,56.31395,0.64985
2025-12-10,75,1.051148681364919,75,59.808099999999996,56.89785,0.5839000000000001
2025-12-10,76,1.0524235171243126,76,60.4591,57.4475,0.54965
2025-12-10,77,1.052667849016638,77,61.2539,58.1892,0.7417
2025-12-10,78,1.0523490363555437,78,62.3179,59.2179,1.0287
2025-12-10,79,1.0524562477499497,79,63.4388,60.2769,1.0590000000000002
2025-12-10,80,1.0526845574625885,80,64.5253,61.29595,1.01905
2025-12-10,81,1.0522434992427379,81,65.5876,62.331199999999995,1.03525
2025-12-10,82,1.0512724034269258,82,66.63589999999999,63.385949999999994,1.0547499999999999
2025-12-10,83,1.0516626309476294,83,67.81819999999999,64.48665,1.1007
2025-12-10,84,1.053778523009522,84,69.19309999999999,65.6619,1.1752500000000001
2025-12-10,85,1.0550206512428704,85,70.57739999999998,66.89670000000001,1.2348
2025-12-10,86,1.056597070839171,86,71.97739999999999,68.12190000000001,1.2252
2025-12-10,87,1.0595059974690417,87,73.46799999999999,69.34175,1.21985
2025-12-10,88,1.060900187329649,88,74.95349999999999,70.65084999999999,1.3091
2025-12-10,89,1.0605283277419961,89,76.15409999999999,71.8077,1.15685
2025-12-10,90,1.0598957580662107,90,77.00979999999998,72.6579,0.8502000000000001
2025-12-10,91,1.0598422239940206,91,77.89479999999999,73.4966,0.8387
2025-12-10,92,1.0600620659716247,92,78.8736,74.4047,0.9080999999999999
2025-12-10,93,1.0601598100761467,93,79.8453,75.3144,0.9097
2025-12-10,94,1.0604670137590653,94,80.8429,76.2333,0.9189
2025-12-10,95,1.0609087110992943,95,81.8934,77.19175,0.95845
2025-12-10,96,1.0611376077333199,96,82.9773,78.19655,1.0048
2025-12-10,97,1.06099775489683,97,84.0489,79.21685000000001,1.0203
2025-12-10,98,1.0607088115443435,98,85.1187,80.24700000000001,1.03015
2025-12-10,99,1.06040064551997,99,86.2093,81.29880000000001,1.0518
2025-12-10,100,1.0597860656175369,100,87.3056,82.38040000000001,1.0816
2025-12-10,101,1.0587389985252402,101,88.4109,83.50585000000001,1.1254499999999998
2025-12-10,102,1.0575857478492776,102,89.5332,84.6581,1.15225
2025-12-10,103,1.0568868366092419,103,90.65969999999999,85.77995,1.12185
2025-12-10,104,1.0561089795082128,104,91.76889999999999,86.8934,1.11345
2025-12-10,105,1.054945379525944,105,92.86219999999999,88.0256,1.1322
2025-12-10,106,1.054218999505849,106,93.97829999999999,89.14495,1.11935
