date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status,predicted_plan_cost_00_yuan,predicted_adjustment_cost_06_yuan,predicted_adjustment_cost_12_yuan,predicted_adjustment_cost_18_yuan
2025-10-18,Q4-3 SEARCH,0.8,2.0,1220.5522500230793,14,1220.5522500230793,optimal,optimal,14560.253621437514,0.0,0.0,14,5066.184464986345,optimal,optimal,-311.02773111037067,147.05734023137722,1505.5745678098324,0.6162718245639713,14,10232.496438878923,optimal,optimal,-159.09111989342838,0.0,554.5178853331674,0.5800187525540095,14,9878.456055555554,optimal,optimal,248.83670643202774,170.18680316666706,16.416885750002095,0.5,1249.5591027073538,1220.5522500230793,10567.641441654325,-221.28214457177128,94.97769439952994,376.9617406853429,14715.933217551086,2,30790.184915143116,0,1.0000258043874055e-07,optimal,optimal,optimal,14400.439173994047,-273.22892675590515,-151.13977066477932,251.98385741866255
2025-10-19,Q4-3 SEARCH,0.8,2.0,1249.5591027073538,14,1249.5591027073538,optimal,optimal,50695.67513350345,0.0,0.0,14,9658.38190749998,optimal,optimal,-1550.269668551309,17.173707487515003,3885.1800259344454,0.5959382686137891,14,6771.395510756708,optimal,optimal,-953.4011296033773,14.895554651926204,2677.4777059569037,0.641273597980538,14,10594.597080520853,optimal,optimal,308.3038985485557,173.25636486456602,76.04210729560495,0.5,1305.0418646335424,1200.0,10620.64383139672,-2195.3668996061306,96.35098217869033,415.0000461381555,48915.308280035475,3,41616.80879501265,0,1.0000516681429872e-07,optimal,optimal,optimal,48710.54927097888,-1433.9593068185213,-865.2753375290347,320.4754115106327
2025-10-20,Q4-3 SEARCH,0.8,2.0,1305.0418646335424,14,1305.0418646335424,optimal,optimal,54009.3118195648,0.0,0.0,14,8874.485385339513,optimal,optimal,-1697.0286853813063,109.6301376875067,4307.396492356828,0.6081069385819874,14,7100.515252274456,optimal,optimal,-1341.0841259765907,0.0,3872.781758373434,0.6499756723256045,14,10126.879562861457,optimal,optimal,238.27602859486913,141.25775931617886,53.93653623091294,0.5,1200.0000000521525,1200.0000000521525,10684.21579017627,-2799.8367827630277,3.115274268261932,6.637091819317412,51216.11212862109,1,39531.874509183755,0,1.0000030670198612e-07,optimal,optimal,optimal,52731.85798445677,-1576.5641992154128,-1321.600157925976,258.8522393178566
2025-10-21,Q4-3 SEARCH,0.8,2.0,1200.0000000521525,14,1200.0000000521525,optimal,optimal,53099.18379782125,0.0,0.0,14,9492.371346697531,optimal,optimal,-1479.2897119073818,5.630510679080544,3348.543455216082,0.6039133043197872,14,6853.5963645215525,optimal,optimal,-1142.867869129283,3.883942305115511,2910.5282853801355,0.6976568241940679,14,10664.947923678556,optimal,optimal,201.03137688269257,114.5254210226343,62.09551048033401,0.5,1461.24479563978,1200.0000000521525,10794.481145900776,-2421.126204153972,3.089753130300041e-07,6.000001548719658e-07,50678.05759426727,0,39950.313787832856,0,1.0000053407566156e-07,optimal,optimal,optimal,51164.657802406684,-1371.2896013617071,-1107.0240220181154,207.93450780220442
2025-10-22,Q4-3 SEARCH,0.8,2.0,1461.24479563978,14,1461.24479563978,optimal,optimal,50678.249464328735,0.0,0.0,14,9842.841366018518,optimal,optimal,-1970.3541558313404,3.2979358424519205,4749.988186086763,0.6333220614856504,14,6999.8273951144365,optimal,optimal,38.63173481467683,413.1344938175795,1825.7276215082234,0.7184096883531815,14,9965.059467865733,optimal,optimal,260.14159277377536,144.36958250000157,64.3070322944665,0.5,1200.0000000516316,1200.0000000516316,10782.6938475,-1671.5808282428884,461.9380627635004,2280.0048887081957,51286.67352479404,19,40334.39160258804,0,1.0000270833643299e-07,optimal,optimal,optimal,49346.445142493016,-1832.5946866918318,35.081531989853175,265.8426211263569
2025-10-23,Q4-3 SEARCH,0.8,2.0,1200.0000000516316,14,1200.0000000516316,optimal,optimal,57678.37703504516,0.0,0.0,14,9562.119704382712,optimal,optimal,-4541.414063672928,55.04973875127189,12451.866820064068,0.6232857971048535,14,7478.547114445706,optimal,optimal,-900.2262540346671,13.540602439952067,2984.4556102919937,0.7293140175437892,14,9803.22470194444,optimal,optimal,313.47021592803185,165.71215391666817,35.11549890009533,0.5,1200.0000000598177,1200.0000000516316,10491.240620283923,-5128.170101779564,264.1320573343942,1442.938216820777,53993.14515008637,8,38731.84088228253,0,1.0000030670198612e-07,optimal,optimal,optimal,56833.67393278614,-4266.661843429503,-834.0336722385919,309.7465021552627
2025-10-24,Q4-3 SEARCH,0.8,2.0,1200.0000000598177,14,1200.0000000598177,optimal,optimal,14247.708698609604,0.0,0.0,14,5817.939144309265,optimal,optimal,-62.60319219431616,42.36102731131511,330.2582750165003,0.6597195528603261,14,10173.36031838334,optimal,optimal,-65.73132044209636,0.178525346409117,194.9331030691793,0.7400301973414284,14,9891.64056280126,optimal,optimal,83.05359581409016,66.2536573955328,32.640784685325336,0.5,1328.7079776506566,1200.0,10733.090062533416,-45.280916822322354,55.80479345813588,225.61198571153034,14428.03976749881,7,30654.221308125892,0,1.0079452295030933e-07,optimal,optimal,optimal,13912.028680304962,-58.8792019583787,-63.58791009404453,93.41983863827424
2025-10-25,Q4-3 SEARCH,0.8,2.0,1328.7079776506566,14,1328.7079776506566,optimal,optimal,14684.397114886448,0.0,0.0,14,5668.027758644589,optimal,optimal,-348.8356877787365,15.71388921514914,2473.1088085112115,0.6527394262979661,14,10069.584299042463,optimal,optimal,-44.495437881136425,24.380644382196408,244.39893376541454,0.7205918945388222,14,9750.496824074073,optimal,optimal,309.03769314262763,224.20120833333402,10.943314337467463,0.5,1200.0000000999999,1200.0000000999999,10452.183703844888,-84.29343251724526,236.01609015645658,874.4627980147585,15474.56648038396,8,32014.52885838739,0,1.000043994281441e-07,optimal,optimal,optimal,14225.03529889364,-352.31026738254775,-42.35376961616461,333.7987689282692
2025-10-26,Q4-3 SEARCH,0.8,2.0,1200.0000000999999,14,1200.0000000999999,optimal,optimal,54490.18146751556,0.0,0.0,14,9536.08180256267,optimal,optimal,-3324.5789766657554,81.68807678995415,9147.243866591336,0.6914850993062307,14,7099.55352498454,optimal,optimal,-556.5389629713517,0.0,1702.6831415548531,0.6585080158449913,14,10499.783927832805,optimal,optimal,439.08451421910706,242.3456069129029,52.480048620428136,0.5,1200.6069820907408,1200.0,10499.783927832805,-3442.033425418,302.5593083250583,1493.8709466059327,52542.018988703494,10,38131.9052410092,0,1.00000761449337e-07,optimal,optimal,optimal,53444.484410865785,-3333.8408064339606,-562.9673374606873,452.44917805134827
2025-10-27,Q4-3 SEARCH,0.8,2.0,1200.6069820907408,14,1200.6069820907408,optimal,optimal,49464.380397145826,0.0,0.0,14,9656.366388518512,optimal,optimal,-153.42595258880976,68.29107124221548,563.9429872736393,0.6855013025672245,14,6689.107666329988,optimal,optimal,-794.7538179559253,4.915562634457615,2092.3174655192634,0.6656010325838919,14,9828.659304368806,optimal,optimal,236.02832318706382,132.24126073474088,48.48635929831704,0.5,1200.000000052386,1200.000000052386,10667.671906526422,-712.1514473576713,63.34279864518043,194.00829964557943,48946.23724943374,4,39914.45754154949,0,1.00000761449337e-07,optimal,optimal,optimal,48717.52501975815,-138.18947857590757,-723.3153992857995,234.15359919409383
