date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status
2025-10-07,ANNUAL REFERENCE ONLY,0.85,2.0,1595.5760843473295,14,1595.5760843473295,optimal,optimal,44438.97840890233,0.0,0.0,14,9837.99557072817,optimal,optimal,-678.9023578447894,22.79820413952251,2500.497351399437,0.7054307139853566,14,7605.948993128341,optimal,optimal,-314.94831795110696,164.3897078678124,2259.673763113523,0.6870807020300234,14,10800.0,optimal,optimal,-1.4924009562499458,0.0,6.980360412735317,0.5,1623.9870227598017,1595.5760843473295,10800.0,-995.3430767521464,44.60160520020792,169.92616434730454,43613.56149649749,3,36514.32822276495,0,1.51969743455993e-07,optimal,optimal,optimal
2025-10-08,ANNUAL REFERENCE ONLY,0.85,2.0,1623.9870227598017,14,1623.9870227598017,optimal,optimal,41264.28636972626,0.0,0.0,14,9921.03224575902,optimal,optimal,-834.0290456625377,0.0,3020.6726268388347,0.6856846870882619,14,6046.079046352632,optimal,optimal,-463.2822678344172,0.9887234648091408,1738.4168338699922,0.7039747817089401,14,10653.378955331695,optimal,optimal,236.4721812403996,131.95894020147347,2.2737367544323206e-13,0.5,1785.349811867856,1495.3940494799149,10800.0,-1060.8391322565553,4.6827440880355886e-08,9.999999999999998e-08,40203.4472375697,0,38112.28474239627,0,1.0000172778745764e-07,optimal,optimal,optimal
2025-10-09,ANNUAL REFERENCE ONLY,0.85,2.0,1785.349811867856,14,1785.349811867856,optimal,optimal,48230.59200340086,0.0,0.0,14,9673.46953814815,optimal,optimal,-4312.180731348417,0.0,13649.36163439772,0.7076360083793053,14,6128.137954013998,optimal,optimal,-385.5133863101445,46.022334876525065,1928.1058919837815,0.6817761195095178,14,10643.36637769038,optimal,optimal,252.68696349155942,134.81359341199277,9.607157745497306,0.5,1830.4580626165177,1785.349811867856,10800.0,-4445.007154167002,104.97655092618365,427.4822443987442,44213.0670936326,4,36814.30961272247,0,1.00000761449337e-07,optimal,optimal,optimal
2025-10-10,ANNUAL REFERENCE ONLY,0.85,2.0,1830.4580626165177,14,1830.4580626165177,optimal,optimal,17242.501259947676,0.0,0.0,14,4839.006920065976,optimal,optimal,-276.6656486162982,0.0,651.7054889923268,0.7229791324986041,14,10799.999999999998,optimal,optimal,-9.202051845447237,50.22362448869717,183.29829439984903,0.6251893437062719,14,10199.994558209983,optimal,optimal,277.8410763189051,153.44656427768075,7.222323999458597,0.5,2097.1182221477325,1389.2714571030137,10800.0,-8.026624142840319,170.6209368695916,852.3511743308063,18086.82581013564,3,28277.22395813856,0,1.00000761449337e-07,optimal,optimal,optimal
2025-10-11,ANNUAL REFERENCE ONLY,0.85,2.0,2097.1182221477325,14,2097.1182221477325,optimal,optimal,17791.60169047123,0.0,0.0,14,5798.210845003559,optimal,optimal,-86.92445604175994,15.90018127764688,254.95800536022162,0.7294486736746663,14,10800.0,optimal,optimal,11.851751462895805,63.61026497086851,178.86226693827916,0.6691803681742314,14,10196.165948152211,optimal,optimal,245.0908951099002,135.41731332967788,9.471356754175007,0.5,2153.097426983558,1919.87725925926,10800.000000000002,170.01819053103605,8.031332321579196,39.19290160078856,18000.812782603054,1,28155.951789889186,0,1.000043994281441e-07,optimal,optimal,optimal
2025-10-12,ANNUAL REFERENCE ONLY,0.85,2.0,2153.097426983558,14,2153.097426983558,optimal,optimal,40720.07004505429,0.0,0.0,14,9946.876133703703,optimal,optimal,-285.6837808263962,177.17357178340293,1493.315961577284,0.6990063100453638,14,7670.242234032138,optimal,optimal,-287.90661734262613,228.0214826949773,2419.205004384614,0.6616851296961284,14,10525.409462610869,optimal,optimal,161.97759514794882,109.39627556818799,3.102514087775859e-07,0.5,1948.4485817936534,1847.2888369094132,10797.91593,-411.61280302107355,656.6217537467905,2627.4365698166253,42935.89381184984,16,34368.19266184505,0,1.00000761449337e-07,optimal,optimal,optimal
2025-10-13,ANNUAL REFERENCE ONLY,0.85,2.0,1948.4485817936534,14,1948.4485817936534,optimal,optimal,42619.19980735404,0.0,0.0,14,9868.250555909332,optimal,optimal,-1483.5970342612643,42.26356562632334,5138.800739032346,0.6560808539672203,14,6936.040205575209,optimal,optimal,-320.05793000920744,209.4905058987282,2296.462910458932,0.6592464914403803,14,10434.369410949319,optimal,optimal,292.7563625260801,207.1682733122789,-3.410605131648481e-13,0.5,2233.8879687882354,1686.490730575208,10800.0,-1510.8986017443917,315.2151752927407,1138.869702933811,42247.170908543456,5,36592.96900555196,0,1.0000690053857397e-07,optimal,optimal,optimal
2025-10-14,ANNUAL REFERENCE ONLY,0.85,2.0,2233.8879687882354,14,2233.8879687882354,optimal,optimal,44263.71203478935,0.0,0.0,14,9750.355791287642,optimal,optimal,-2093.940132052049,19.567457144630644,7491.782969710526,0.6356180682518217,14,5157.0582566337835,optimal,optimal,636.8955583525888,814.8860284392124,154.54185333929127,0.6289051318304175,14,10722.227799137754,optimal,optimal,-23.967636968220937,0.0,41.523299432225826,0.5,1686.5196824100628,1258.0747799620042,10800.0,-1481.0122106676813,404.27908608550615,1057.6043831770735,43840.304207298745,9,37324.41203169965,0,1.0000121619668789e-07,optimal,optimal,optimal
2025-10-15,ANNUAL REFERENCE ONLY,0.85,2.0,1686.5196824100628,14,1686.5196824100628,optimal,optimal,44614.097905184186,0.0,0.0,14,9532.820373425928,optimal,optimal,-2147.1026018171115,0.0,7084.435523297682,0.6241099840039948,14,6797.306390663495,optimal,optimal,-163.4187590049558,8.754204505147868,531.4789112566604,0.612734340928349,14,10799.99999944117,optimal,optimal,-18.930578539186932,0.0,35.28670400220271,0.5,1254.7866245934483,1200.0,10800.0,-2329.4519393612545,995.5090861005245,4679.32923435749,46963.975200180415,17,37715.88381078417,0,1.0000803740695119e-07,optimal,optimal,optimal
2025-10-16,ANNUAL REFERENCE ONLY,0.85,2.0,1254.7866245934483,14,1254.7866245934483,optimal,optimal,43002.28864866641,0.0,0.0,14,9485.900000740736,optimal,optimal,-183.7619509929654,578.485552226052,3079.008678548203,0.6240783348975945,14,6943.562817301133,optimal,optimal,-33.09135384168671,44.48711021648592,338.63967267872033,0.6058262606377399,14,10351.276986099349,optimal,optimal,363.16438967425637,261.21640417725246,0.0,0.5,1234.0635423841688,1200.0,10796.368043085577,146.31108483960423,369.7458796710172,1565.5641166444252,44714.163850150435,12,39022.68186963603,0,1.00000761449337e-07,optimal,optimal,optimal
2025-10-17,ANNUAL REFERENCE ONLY,0.85,2.0,1234.0635423841688,14,1234.0635423841688,optimal,optimal,15382.567861093114,0.0,0.0,14,4907.653792037036,optimal,optimal,928.1772173871241,713.2318117463511,0.0,0.595429986245888,14,9849.536992893854,optimal,optimal,350.2003566920004,264.5682127113357,1.1368683772161603e-13,0.5953783339604475,14,9901.0905362004,optimal,optimal,-9.577111067954172,0.0,19.404540913691985,0.5,1231.687435179311,1211.1351852372154,10800.0,1268.8004630111705,203.58009005743676,431.35975886341737,17082.728082967704,7,28585.450547605353,0,1.0000258043874055e-07,optimal,optimal,optimal
2025-10-18,ANNUAL REFERENCE ONLY,0.85,2.0,1231.687435179311,14,1231.687435179311,optimal,optimal,18573.95338598934,0.0,0.0,14,5066.76108212963,optimal,optimal,-430.2842978028411,146.53838480242243,1505.5745695687147,0.6162718245639713,14,10382.35839746266,optimal,optimal,-218.6739532304026,0.0,577.5959500304882,0.5800187525540095,14,10004.453435185183,optimal,optimal,92.15522388093646,60.28603802571456,0.0,0.5,1661.563527332949,1231.687435179311,10800.0,-556.8030271523072,1.8958597661116112e-07,3.999997565211743e-07,18017.150359237035,0,28717.33626239938,0,1.000043994281441e-07,optimal,optimal,optimal
2025-10-19,ANNUAL REFERENCE ONLY,0.85,2.0,1661.563527332949,14,1661.563527332949,optimal,optimal,48157.31312354979,0.0,0.0,14,9359.27739697531,optimal,optimal,-1305.5286353073611,17.17370748751523,3675.593227836245,0.5959382686137891,14,6717.189664160935,optimal,optimal,-845.9336254171511,14.895554651925977,2729.140155480769,0.641273597980538,14,10645.148562650073,optimal,optimal,250.32663590878937,137.18962694826973,46.68117253666473,0.5,1303.8341925595607,1199.9999999999998,10645.148562650073,-1901.135624815723,139.2465724116687,587.4966891044506,46843.67418783852,6,38618.34278470272,0,1.000086058411398e-07,optimal,optimal,optimal
2025-10-20,ANNUAL REFERENCE ONLY,0.85,2.0,1303.8341925595607,14,1303.8341925595607,optimal,optimal,51678.282995434245,0.0,0.0,14,8631.019813303945,optimal,optimal,-1598.747308676001,0.0,4153.948815429387,0.6081069385819874,14,7662.1201186633825,optimal,optimal,-1209.5723529298634,0.0,3928.011955036127,0.6499756723256045,14,10769.563055476992,optimal,optimal,36.2234966559146,27.393250070706813,57.80080504846775,0.5,1247.0775339776428,1247.0775339776428,10800.0,-2772.09616494995,2.882403920296971e-07,5.999999230974935e-07,48906.18683108429,0,35476.1830649451,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-10-21,ANNUAL REFERENCE ONLY,0.85,2.0,1247.0775339776428,14,1247.0775339776428,optimal,optimal,50320.46545989487,0.0,0.0,14,8702.930050617284,optimal,optimal,-764.2311316694548,326.9352731079161,3028.6592560580425,0.6039133043197872,14,6518.758853107336,optimal,optimal,-1077.1719796053374,3.883942305115397,3077.4332345585804,0.6976568241940679,14,10678.048744166668,optimal,optimal,193.80349208762993,109.75613024999632,54.776679906161355,0.5,1417.8892476236492,1247.0775339776428,10799.78035787037,-1647.5996191871623,2.4094110570320656e-07,5.000000652628842e-07,48672.865841207706,0,39448.80559307079,0,1.0002258932217956e-07,optimal,optimal,optimal
