date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status
2025-12-24,ANNUAL REFERENCE ONLY,0.95,0.25,1200.0000000519697,14,1200.0000000519697,optimal,optimal,64643.2330288949,0.0,0.0,14,8577.06404574074,optimal,optimal,1485.900935317564,1560.6245925391468,1541.662345439438,0.5970461351492158,14,8375.51402831881,optimal,optimal,-774.7855101475733,-2.2737367544323206e-13,2579.9281153031748,0.5788801508142505,14,10565.76132342562,optimal,optimal,273.1669307679433,159.75569141095156,-1.1368683772161603e-13,0.5,1211.6575814430744,1200.0000000519697,10761.766964055652,984.2823559379341,144.54883253126715,843.2793082291277,66470.79469306197,3,40533.988959336304,0,1.0002258932217956e-07,optimal,optimal,optimal
2025-12-25,ANNUAL REFERENCE ONLY,0.95,0.25,1211.6575814430744,14,1211.6575814430744,optimal,optimal,61617.037351866435,0.0,0.0,14,10137.742151388893,optimal,optimal,-202.0363094276989,202.87857691283784,1415.8798730623384,0.5742701733120054,14,7462.9339915697365,optimal,optimal,152.02425748455656,224.72890928706886,412.3564084113464,0.5564793848446332,14,10556.819369729628,optimal,optimal,320.10232378786094,183.15756724333585,28.058710960023266,0.5,1214.5403670367184,1200.0,10690.77164788567,270.0902718447186,134.50936985068319,388.6457546955142,62275.773378406666,5,43144.12960610831,0,1.00000761449337e-07,optimal,optimal,optimal
2025-12-26,ANNUAL REFERENCE ONLY,0.95,0.25,1214.5403670367184,14,1214.5403670367184,optimal,optimal,27417.096213822744,0.0,0.0,14,10219.283333333333,optimal,optimal,-364.93057677312834,160.54292600623978,2019.033867653483,0.5819003276456636,14,7960.035512041768,optimal,optimal,-455.12727735263485,15.351608572138277,1867.5987624948227,0.6129184612127577,14,9933.318166633653,optimal,optimal,344.7535547076578,215.41576309555802,59.89919271328186,0.5,1224.164954578034,1214.5403670367184,10800.0,-475.3042994181054,328.4772709059567,1147.724200450823,28089.51611485546,9,36240.78240690294,0,1.0000186193792614e-07,optimal,optimal,optimal
2025-12-27,ANNUAL REFERENCE ONLY,0.95,0.25,1224.164954578034,14,1224.164954578034,optimal,optimal,28315.566700996747,0.0,0.0,14,10096.426503981484,optimal,optimal,-515.4052032449297,88.198768847113,2218.2677127070997,0.5667241990353776,14,7876.404254061776,optimal,optimal,-394.32524300839475,16.783931535090325,1631.7820444221009,0.6464055111115669,14,9781.036666666667,optimal,optimal,513.5737973760025,298.91306368259325,7.614197978002557e-07,0.5,1276.9148200642967,1224.164954578034,10667.752429907408,-396.1566488773219,94.5714897466031,481.93228970346536,28401.342341822892,6,35354.77357825954,0,1.0001167538575828e-07,optimal,optimal,optimal
2025-12-28,ANNUAL REFERENCE ONLY,0.95,0.25,1276.9148200642967,14,1276.9148200642967,optimal,optimal,63977.48142749442,0.0,0.0,14,8635.17194830247,optimal,optimal,1509.563526237805,1793.0262236441513,2295.2153292075855,0.581553872172904,14,8190.90853972137,optimal,optimal,-710.3553115975408,17.53595008333332,2318.863277360202,0.6439108888432244,14,10509.289919259258,optimal,optimal,409.15652836240696,225.93407266666975,0.0,0.5,1241.6008308308787,1241.6008308308787,10776.357452485683,1208.3647430026713,206.91819058527915,549.7294720229486,65735.57564252004,6,39673.652287589626,0,1.0000245765695582e-07,optimal,optimal,optimal
2025-12-29,ANNUAL REFERENCE ONLY,0.95,0.25,1241.6008308308787,14,1241.6008308308787,optimal,optimal,60922.980211447604,0.0,0.0,14,10142.544905740744,optimal,optimal,987.9537387453885,963.2319264368667,308.4063580520733,0.6005516501070849,14,6834.444069550646,optimal,optimal,-235.76508029942556,61.212950033854035,838.3635192820886,0.6641562355769401,14,10562.58465799315,optimal,optimal,189.8808699531138,146.48797447283198,0.0,0.5,1204.9279261015456,1204.9279261015456,10800.0,942.0695283990767,2.9193850384982427e-07,1.1000071256333286e-06,61865.04974094669,0,44470.63776459321,0,1.0000395650422434e-07,optimal,optimal,optimal
2025-12-30,ANNUAL REFERENCE ONLY,0.95,0.25,1204.9279261015456,14,1204.9279261015456,optimal,optimal,61082.21201217818,0.0,0.0,14,10016.639634845678,optimal,optimal,1670.3209476932125,1462.232821018022,724.6687201793118,0.6007256872824439,14,6465.458682899031,optimal,optimal,-720.9837058637213,3.1056010288067455,2023.7540313839554,0.6126122709541754,14,10616.798563771692,optimal,optimal,184.32132545488574,160.2248582433363,0.0,0.5,1246.1268593982143,1200.0,10757.913954277155,1133.6585672843769,222.09107418942563,1045.2069993586072,63261.07757882116,5,42212.75124299274,0,1.0000803740695119e-07,optimal,optimal,optimal
2025-12-31,ANNUAL REFERENCE ONLY,0.95,0.25,1246.1268593982143,14,1246.1268593982143,optimal,optimal,62240.99901091804,0.0,0.0,14,10117.958147592599,optimal,optimal,641.5200823972435,674.8605436322829,892.1598124908987,0.5666711450276865,14,6732.920983769711,optimal,optimal,-195.25493322176118,38.19740991655408,729.466742982823,0.6313463178122489,14,10616.798563618606,optimal,optimal,166.08993780986492,131.8004931820389,0.0,0.5,1200.0000000519697,1200.0000000519697,10750.113056581858,612.3550869853473,52.44671308314035,112.27078259577864,62965.62488049917,3,43721.587902638275,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-02-01,ANNUAL REFERENCE ONLY,0.95,0.5,6000.0,2,6000.0,optimal,optimal,21719.94543355953,0.0,0.0,2,9642.039444444446,optimal,optimal,-984.1827128643607,0.0,3016.4040319831397,0.6203361283146992,2,7124.128017037038,optimal,optimal,-75.30368939828337,0.0,195.5807070193136,0.5219275667876406,2,10197.944476851852,optimal,optimal,-30.973470065879933,0.0,62.756499171064675,0.5,1200.0000001,1200.0000001,10800.000000000002,-1090.459872328524,31.888854328703772,115.43195186634222,20744.91751309735,2,30842.755403720774,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-02-02,ANNUAL REFERENCE ONLY,0.95,0.5,1200.0000001,3,1200.0000001,optimal,optimal,57517.54812983773,0.0,0.0,3,10771.232306534266,optimal,optimal,-1230.9051505970351,9.157730099887885,3718.2643555366476,0.630420805544078,3,7656.592467969517,optimal,optimal,-331.93170582898244,29.538682462871748,1163.9228574957062,0.5328440473078151,3,10800.0,optimal,optimal,1e-07,1.579778830963665e-07,0.0,0.5,1225.040735833422,1200.0000001,10800.0,-1562.8368563260176,12.212987546772625,26.459437518749873,55981.17071103046,1,40766.17092579617,0,1.0000417205446865e-07,optimal,optimal,optimal
