slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
122,20:20,1.34,4291.7049,0.0,715.28415,0.0,-4.547473508864641e-13,0.0,0.0,715.28415,2789.8665370370372,3584.626703703704,-4.547473508864641e-13,-4.547473508864641e-13,-4.092726157978177e-13,794.7601666666666,0.0,-6.09361450187862e-13,794.7601666666661
123,20:30,1.3489,4291.3611,0.0,715.22685,0.0,0.0,0.0,0.0,715.22685,1995.170037037037,2789.8665370370372,0.0,0.0,0.0,794.6965,0.0,0.0,794.6965
124,20:40,1.3952,4293.9182,0.0,715.6530333333333,0.0,0.0,0.0,0.0,715.6530333333333,1200.0,1995.170037037037,0.0,0.0,0.0,795.170037037037,0.0,0.0,795.170037037037
125,20:50,1.2226,4295.2135,0.0,715.8689166666666,0.0,0.0,715.8689166666666,0.0,0.0,1200.0,1200.0,715.8689166666666,0.0,0.0,0.0,0.0,875.2213375166665,0.0
126,21:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,717.0051166666667,0.0,0.0,1200.0,1200.0,717.0051166666667,0.0,0.0,0.0,0.0,669.1091748733334,0.0
127,21:10,0.9068,4320.9618,0.0,720.1603,0.0,0.0,720.1603,0.0,0.0,1200.0,1200.0,720.1603,0.0,0.0,0.0,0.0,653.0413600400001,0.0
128,21:20,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,717.0548666666666,0.0,0.0,1200.0,1200.0,717.0548666666666,0.0,0.0,0.0,0.0,671.9521155533333,0.0
129,21:30,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,720.4459666666667,0.0,0.0,1200.0,1200.0,720.4459666666667,0.0,0.0,0.0,0.0,675.1299153633333,0.0
130,21:40,0.9871,4428.8083,0.0,738.1347166666666,0.0,0.0,738.1347166666666,0.0,0.0,1200.0,1200.0,738.1347166666666,0.0,0.0,0.0,0.0,728.6127788216666,0.0
131,21:50,0.7764,4030.1614,0.0,671.6935666666666,0.0,0.0,671.6935666666666,0.0,0.0,1200.0,1200.0,671.6935666666666,0.0,0.0,0.0,0.0,521.5028851599999,0.0
132,22:00,0.4209,3362.7419,0.0,560.4569833333333,0.0,833.3333333333335,560.4569833333333,0.0,0.0,1950.0,1200.0,1393.7903166666667,833.3333333333335,750.0000000000001,0.0,0.0,586.646344285,750.0000000000001
133,22:10,0.3859,3309.3934,0.0,551.5655666666667,0.0,833.333333333333,551.5655666666667,0.0,0.0,2700.0,1950.0,1384.8988999999997,833.333333333333,749.9999999999998,0.0,0.0,534.4324855099999,749.9999999999998
134,22:20,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,568.8260499999999,0.0,0.0,2700.0,2700.0,568.8260499999999,0.0,0.0,0.0,0.0,248.46321863999998,0.0
135,22:30,0.4198,3381.9313,0.0,563.6552166666667,0.0,833.3333333333335,563.6552166666667,0.0,0.0,3450.0,2700.0,1396.98855,833.3333333333335,750.0000000000001,0.0,0.0,586.45579329,750.0000000000001
136,22:40,0.4186,3386.5592,0.0,564.4265333333333,0.0,833.3333333333335,564.4265333333333,0.0,0.0,4200.0,3450.0,1397.7598666666668,833.3333333333335,750.0000000000001,0.0,0.0,585.1022801866668,750.0000000000001
137,22:50,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,566.7474333333332,0.0,0.0,4200.0,4200.0,566.7474333333332,0.0,0.0,0.0,0.0,240.3575864766666,0.0
138,23:00,0.4237,3399.2426,0.0,566.5404333333333,0.0,833.333333333333,566.5404333333333,0.0,0.0,4950.0,4200.0,1399.8737666666664,833.333333333333,749.9999999999998,0.0,0.0,593.1265149366666,749.9999999999998
139,23:10,0.4248,3406.9809,0.0,567.83015,0.0,0.0,567.83015,0.0,0.0,4950.0,4950.0,567.83015,0.0,0.0,0.0,0.0,241.21424772,0.0
140,23:20,0.424,3416.1518,0.0,569.3586333333333,0.0,333.33333333333394,569.3586333333333,0.0,0.0,5250.0,4950.0,902.6919666666672,333.33333333333394,300.00000000000057,0.0,0.0,382.7413938666669,300.00000000000057
141,23:30,0.422,3421.9811,0.0,570.3301833333333,0.0,833.333333333333,570.3301833333333,0.0,0.0,6000.0,5250.0,1403.6635166666663,833.333333333333,749.9999999999998,0.0,0.0,592.3460040333332,749.9999999999998
142,23:40,0.424,3429.6923,0.0,571.6153833333333,0.0,0.0,571.6153833333333,0.0,0.0,6000.0,6000.0,571.6153833333333,0.0,0.0,0.0,0.0,242.3649225333333,0.0
143,23:50,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,573.1768333333333,0.0,0.0,6000.0,6000.0,573.1768333333333,0.0,0.0,0.0,0.0,244.80382551666665,0.0
144,0:00+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,-9.094947017729282e-13,574.1209833333332,0.0,0.0,6000.0,6000.0,574.1209833333323,-9.094947017729282e-13,-8.185452315956354e-13,0.0,0.0,245.49413247333288,-8.185452315956354e-13
