slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
23,03:50:00,0.436,3546.3976,0.0,591.0662666666666,0.0,0.0,591.0662666666666,0.0,0.0,10050.0,10050.0,591.0662666666666,0.0,0.0,0.0,0.0,257.70489226666666,0.0
24,04:00:00,0.4378,3560.207,0.0,593.3678333333332,0.0,0.0,593.3678333333332,0.0,0.0,10050.0,10050.0,593.3678333333332,0.0,0.0,0.0,0.0,259.7764374333333,0.0
25,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,593.6596833333333,0.0,0.0,10050.0,10050.0,593.6596833333333,0.0,0.0,0.0,0.0,261.269626635,0.0
26,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,592.7863833333333,0.0,0.0,10050.0,10050.0,592.7863833333333,0.0,0.0,0.0,0.0,260.173943645,0.0
27,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,593.3378666666666,0.0,0.0,10050.0,10050.0,593.3378666666666,0.0,0.0,0.0,0.0,258.93264501333334,0.0
28,04:40:00,0.4393,3580.654,0.5994,596.7756666666667,0.0999,0.0,596.6757666666666,0.0,0.0,10050.0,10050.0,596.6757666666666,0.0,0.0,0.0,0.0,262.11966429666666,0.0
29,04:50:00,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333,0.0,597.78025,0.0,0.0,10050.0,10050.0,597.78025,0.0,0.0,0.0,0.0,264.33842655,0.0
30,05:00:00,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325,0.0,595.1624999999999,0.0,0.0,10050.0,10050.0,595.1624999999999,0.0,0.0,0.0,0.0,261.57391874999996,0.0
31,05:10:00,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668,0.0,590.6065,0.0,0.0,10050.0,10050.0,590.6065,0.0,0.0,0.0,0.0,255.90979645000002,0.0
32,05:20:00,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999,0.0,589.4851833333333,0.0,0.0,10050.0,10050.0,589.4851833333333,0.0,0.0,0.0,0.0,261.6724728816667,0.0
33,05:30:00,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665,0.0,578.4554499999999,0.0,0.0,10050.0,10050.0,578.4554499999999,0.0,0.0,0.0,0.0,248.79368904499995,0.0
