date,update_time,slot,previous_plan_kwh,new_plan_kwh,increase_kwh,decrease_kwh,adjustment_cost_yuan,alpha,lambda,scenario_count,primary_objective,secondary_throughput,primary_status,secondary_status,empirical_cvar_yuan,initial_soc_kwh,plan_terminal_soc_kwh,max_constraint_violation,predicted_adjustment_cost_yuan,price_forecast_yuan_per_kwh,contract_gamma,price_real_yuan_per_kwh
2025-03-20,00:00,15,0.0,574.0266666666668,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.45415,1.0,0.4545
2025-03-20,00:00,16,0.0,603.5333833333334,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4474,1.0,0.4389
2025-03-20,00:00,17,0.0,620.2602749999999,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4296,1.0,0.3868
2025-03-20,00:00,18,0.0,613.2339249999991,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.42279999999999995,1.0,0.3634
2025-03-20,00:00,19,0.0,1389.5688916666668,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.41085,1.0,0.4416
2025-03-20,00:00,20,0.0,569.9817416666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4437,1.0,0.4839
2025-03-20,00:00,21,0.0,516.3374999999999,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.49124999999999996,1.0,0.4574
2025-03-20,00:00,22,0.0,579.2955416666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.46545000000000003,1.0,0.4575
2025-03-20,00:00,23,0.0,603.4300750000001,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.43185,1.0,0.4629
2025-03-20,00:00,24,0.0,559.7333333333333,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.44435,1.0,0.4426
