date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,soc_real_end_kwh,soc_real_start_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,emergency_purchase_kwh,emergency_cost_slot_yuan,planned_cost_slot_yuan,total_cost_slot_yuan,source_time
2025-07-20,116,1.3445,1200.0,0.0,202.83448166666665,0.0,778.1962016666665,7466.6563703180545,8331.31881661435,202.83448166666665,981.2974166666665,0.2667333333333333,0.0,0.0,272.7109606008333,272.7109606008333,19:20:00
2025-07-20,117,1.3483,1200.0,0.0,190.09666666666658,0.0,773.25,6607.489703651388,7466.6563703180545,190.09666666666658,963.3466666666666,0.0,0.0,0.0,256.3073356666666,256.3073356666666,19:30:00
2025-07-20,118,1.349,1200.0,0.0,202.55382500000007,0.0,742.8738249999998,5782.074342540277,6607.489703651388,202.55382500000007,945.4276499999999,0.0,0.0,0.0,273.2451099250001,273.2451099250001,19:40:00
2025-07-20,119,1.3473,1200.0,0.0,203.3567516666668,0.0,736.4151483333331,4963.835288836573,5782.074342540277,203.3567516666668,939.7910499999999,0.01915,0.0,0.0,273.9825515205002,273.9825515205002,19:50:00
2025-07-20,120,1.3482,1200.0,0.0,198.24166666666667,0.0,754.2783333333333,4125.748251799537,4963.835288836573,198.24166666666667,952.52,0.0,0.0,0.0,267.26941500000004,267.26941500000004,20:00:00
2025-07-20,121,1.3513,1200.0,0.0,195.25200000000007,0.0,784.1251499999998,3254.4980851328705,4125.748251799537,195.25200000000007,979.3771499999999,0.0,0.0,0.0,263.84402760000006,263.84402760000006,20:10:00
2025-07-20,122,1.34,1200.0,0.0,727.8599049999998,0.0,253.1129450000002,2973.2614795773147,3254.4980851328705,727.8599049999998,980.9742166666666,0.0013666666666666666,0.0,0.0,975.3322726999997,975.3322726999997,20:20:00
2025-07-20,123,1.3489,1200.0,0.0,198.69583333333333,0.0,775.3525,2111.758701799537,2973.2614795773147,198.69583333333333,974.0483333333333,0.0,0.0,0.0,268.02080958333335,268.02080958333335,20:30:00
2025-07-20,124,1.3952,1200.0,0.0,203.35239333333323,0.0,806.1701900000002,1216.0140462439813,2111.758701799537,203.35239333333323,1009.5225833333334,0.0,0.0,0.0,283.7172591786665,283.7172591786665,20:40:00
2025-07-20,125,1.2226,1200.0,0.0,1058.0405799999999,0.0,0.0,1216.0140462439813,1216.0140462439813,1058.0405799999999,1018.7086333333333,0.0,0.0,0.0,1293.5604131079997,1293.5604131079997,20:50:00
2025-07-20,126,0.9332,1200.0,0.0,1061.8058333333333,0.0,0.0,1216.0140462439813,1216.0140462439813,1061.8058333333333,976.4933333333333,0.0,0.0,0.0,990.8772036666667,990.8772036666667,21:00:00
2025-07-20,127,0.9068,1200.0,0.0,1017.9568416666666,0.0,0.0,1216.0140462439813,1216.0140462439813,1017.9568416666666,935.7551166666667,0.0,0.0,0.0,923.0832640233333,923.0832640233333,21:10:00
2025-07-20,128,0.9371,1200.0,0.0,1008.2585250000001,0.0,0.0,1216.0140462439813,1216.0140462439813,1008.2585250000001,960.3774166666667,0.0,0.0,0.0,944.8390637775001,944.8390637775001,21:20:00
2025-07-20,129,0.9371,1200.0,0.0,1024.1158333333333,0.0,0.0,1216.0140462439813,1216.0140462439813,1024.1158333333333,1020.7083333333333,0.0,0.0,0.0,959.6989474166667,959.6989474166667,21:30:00
2025-07-20,130,0.9871,1200.0,0.0,1011.7466833333333,0.0,0.2890833333333376,1215.6928425402775,1216.0140462439813,1011.7466833333333,1012.0357666666666,0.0,0.0,0.0,998.6951511183332,998.6951511183332,21:40:00
2025-07-20,131,0.7764,1200.0,0.0,938.3381583333332,0.0,0.0,1215.6928425402775,1215.6928425402775,938.3381583333332,913.9415166666665,0.0,0.0,0.0,728.5257461299999,728.5257461299999,21:50:00
2025-07-20,132,0.4209,1200.0,0.0,852.4566666666666,0.0,0.0,1215.6928425402775,1215.6928425402775,852.4566666666666,788.3999999999999,0.0,0.0,0.0,358.79901099999995,358.79901099999995,22:00:00
2025-07-20,133,0.3859,1200.0,0.0,841.1405666666667,0.0,0.0,1215.6928425402775,1215.6928425402775,841.1405666666667,733.5163333333333,0.0,0.0,0.0,324.5961446766667,324.5961446766667,22:10:00
2025-07-20,134,0.4368,1200.0,0.0,833.0730749999998,0.0,0.0,1215.6928425402775,1215.6928425402775,833.0730749999998,750.0015666666666,0.0,0.0,0.0,363.8863191599999,363.8863191599999,22:20:00
2025-07-20,135,0.4198,1200.0,0.0,813.2099999999999,0.0,0.0,1215.6928425402775,1215.6928425402775,813.2099999999999,794.5183333333332,0.0,0.0,0.0,341.38555799999995,341.38555799999995,22:30:00
2025-07-20,136,0.4186,1200.0,0.0,842.6801833333333,0.0,0.0,1215.6928425402775,1215.6928425402775,842.6801833333333,813.4123166666666,0.0,0.0,0.0,352.7459247433333,352.7459247433333,22:40:00
2025-07-20,137,0.4241,1200.0,0.0,845.3839499999998,0.0,0.0,1215.6928425402775,1215.6928425402775,845.3839499999998,789.7858166666666,0.0,0.0,0.0,358.52733319499987,358.52733319499987,22:50:00
2025-07-20,138,0.4237,1200.0,0.0,782.7449999999999,0.0,0.0,1215.6928425402775,1215.6928425402775,782.7449999999999,758.76,0.0,0.0,0.0,331.6490565,331.6490565,23:00:00
2025-07-20,139,0.4248,1200.0,0.0,754.9633416666668,0.0,14.123558286249818,1200.0,1215.6928425402775,754.9633416666668,769.0868999999999,0.0,4.708329015556956e-08,1.0000490829042974e-07,320.70842754000006,320.70842764000497,23:10:00
2025-07-20,140,0.424,1200.0,0.0,792.3867499999999,0.0,0.0,1200.0,1200.0,792.3867499999999,758.1180166666666,0.0,0.0,0.0,335.97198199999997,335.97198199999997,23:20:00
2025-07-20,141,0.422,1200.0,0.0,844.5591666666666,0.0,0.0,1200.0,1200.0,844.5591666666666,738.585,0.0,0.0,0.0,356.4039683333333,356.4039683333333,23:30:00
