Hour,Region,TaskType,Actual_GPU,Predicted_GPU,AbsoluteError
2380,RegionD,BatchInference,22,18.835858585858585,3.1641414141414153
2380,RegionD,AITraining,83,170.05765993265993,87.05765993265993
2380,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2380,RegionE,BatchInference,20,12.241582491582491,7.758417508417509
2380,RegionE,AITraining,73,121.13257575757575,48.13257575757575
2380,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2380,RegionF,BatchInference,16,11.337542087542088,4.662457912457912
2380,RegionF,AITraining,329,122.66287878787878,206.33712121212122
2381,RegionA,RealTimeInference,7,9.838804713804715,2.8388047138047146
2381,RegionA,BatchInference,43,18.751262626262626,24.248737373737374
2381,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2381,RegionB,RealTimeInference,7,8.332912457912458,1.3329124579124585
2381,RegionB,BatchInference,4,18.412037037037038,14.412037037037038
2381,RegionB,AITraining,71,26.022306397306398,44.977693602693606
2381,RegionC,RealTimeInference,12,7.095538720538721,4.904461279461279
2381,RegionC,BatchInference,37,14.478535353535353,22.521464646464647
2381,RegionC,AITraining,68,24.610690235690235,43.389309764309765
2381,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2381,RegionD,BatchInference,0,18.835858585858585,18.835858585858585
2381,RegionD,AITraining,178,170.05765993265993,7.942340067340069
2381,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2381,RegionE,BatchInference,7,12.241582491582491,5.241582491582491
2381,RegionE,AITraining,161,121.13257575757575,39.86742424242425
2381,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2381,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2381,RegionF,AITraining,191,122.66287878787878,68.33712121212122
2382,RegionA,RealTimeInference,1,9.838804713804715,8.838804713804715
2382,RegionA,BatchInference,19,18.751262626262626,0.2487373737373737
2382,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2382,RegionB,RealTimeInference,7,8.332912457912458,1.3329124579124585
2382,RegionB,BatchInference,8,18.412037037037038,10.412037037037038
2382,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2382,RegionC,RealTimeInference,13,7.095538720538721,5.904461279461279
2382,RegionC,BatchInference,19,14.478535353535353,4.521464646464647
2382,RegionC,AITraining,67,24.610690235690235,42.389309764309765
2382,RegionD,RealTimeInference,7,0.8261784511784511,6.173821548821548
2382,RegionD,BatchInference,19,18.835858585858585,0.16414141414141525
2382,RegionD,AITraining,91,170.05765993265993,79.05765993265993
2382,RegionE,RealTimeInference,6,1.093013468013468,4.906986531986532
2382,RegionE,BatchInference,23,12.241582491582491,10.758417508417509
2382,RegionE,AITraining,0,121.13257575757575,121.13257575757575
2382,RegionF,RealTimeInference,1,0.8337542087542088,0.1662457912457912
2382,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2382,RegionF,AITraining,180,122.66287878787878,57.33712121212122
2383,RegionA,RealTimeInference,17,9.838804713804715,7.1611952861952854
2383,RegionA,BatchInference,25,18.751262626262626,6.248737373737374
2383,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2383,RegionB,RealTimeInference,9,8.332912457912458,0.6670875420875415
2383,RegionB,BatchInference,33,18.412037037037038,14.587962962962962
2383,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2383,RegionC,RealTimeInference,2,7.095538720538721,5.095538720538721
2383,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2383,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2383,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2383,RegionD,BatchInference,17,18.835858585858585,1.8358585858585847
2383,RegionD,AITraining,112,170.05765993265993,58.05765993265993
2383,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2383,RegionE,BatchInference,14,12.241582491582491,1.7584175084175087
2383,RegionE,AITraining,286,121.13257575757575,164.86742424242425
2383,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2383,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2383,RegionF,AITraining,159,122.66287878787878,36.33712121212122
2384,RegionA,RealTimeInference,12,9.838804713804715,2.1611952861952854
2384,RegionA,BatchInference,0,18.751262626262626,18.751262626262626
2384,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2384,RegionB,RealTimeInference,7,8.332912457912458,1.3329124579124585
2384,RegionB,BatchInference,0,18.412037037037038,18.412037037037038
2384,RegionB,AITraining,78,26.022306397306398,51.977693602693606
2384,RegionC,RealTimeInference,6,7.095538720538721,1.0955387205387206
2384,RegionC,BatchInference,17,14.478535353535353,2.521464646464647
2384,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2384,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2384,RegionD,BatchInference,6,18.835858585858585,12.835858585858585
2384,RegionD,AITraining,68,170.05765993265993,102.05765993265993
2384,RegionE,RealTimeInference,4,1.093013468013468,2.906986531986532
2384,RegionE,BatchInference,6,12.241582491582491,6.241582491582491
2384,RegionE,AITraining,153,121.13257575757575,31.86742424242425
2384,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2384,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2384,RegionF,AITraining,179,122.66287878787878,56.33712121212122
2385,RegionA,RealTimeInference,5,9.838804713804715,4.8388047138047146
2385,RegionA,BatchInference,0,18.751262626262626,18.751262626262626
2385,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2385,RegionB,RealTimeInference,12,8.332912457912458,3.6670875420875415
2385,RegionB,BatchInference,33,18.412037037037038,14.587962962962962
2385,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2385,RegionC,RealTimeInference,5,7.095538720538721,2.0955387205387206
2385,RegionC,BatchInference,35,14.478535353535353,20.521464646464647
2385,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2385,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2385,RegionD,BatchInference,34,18.835858585858585,15.164141414141415
2385,RegionD,AITraining,64,170.05765993265993,106.05765993265993
2385,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2385,RegionE,BatchInference,0,12.241582491582491,12.241582491582491
2385,RegionE,AITraining,144,121.13257575757575,22.86742424242425
2385,RegionF,RealTimeInference,7,0.8337542087542088,6.1662457912457915
2385,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2385,RegionF,AITraining,393,122.66287878787878,270.33712121212125
2386,RegionA,RealTimeInference,6,9.838804713804715,3.8388047138047146
2386,RegionA,BatchInference,15,18.751262626262626,3.7512626262626263
2386,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2386,RegionB,RealTimeInference,18,8.332912457912458,9.667087542087542
2386,RegionB,BatchInference,51,18.412037037037038,32.58796296296296
2386,RegionB,AITraining,113,26.022306397306398,86.9776936026936
2386,RegionC,RealTimeInference,5,7.095538720538721,2.0955387205387206
2386,RegionC,BatchInference,14,14.478535353535353,0.4785353535353529
2386,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2386,RegionD,RealTimeInference,4,0.8261784511784511,3.173821548821549
2386,RegionD,BatchInference,60,18.835858585858585,41.16414141414141
2386,RegionD,AITraining,116,170.05765993265993,54.05765993265993
2386,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2386,RegionE,BatchInference,17,12.241582491582491,4.758417508417509
2386,RegionE,AITraining,101,121.13257575757575,20.13257575757575
2386,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2386,RegionF,BatchInference,12,11.337542087542088,0.6624579124579117
2386,RegionF,AITraining,114,122.66287878787878,8.662878787878782
2387,RegionA,RealTimeInference,11,9.838804713804715,1.1611952861952854
2387,RegionA,BatchInference,16,18.751262626262626,2.7512626262626263
2387,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2387,RegionB,RealTimeInference,15,8.332912457912458,6.6670875420875415
2387,RegionB,BatchInference,33,18.412037037037038,14.587962962962962
2387,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2387,RegionC,RealTimeInference,25,7.095538720538721,17.90446127946128
2387,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2387,RegionC,AITraining,91,24.610690235690235,66.38930976430976
2387,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2387,RegionD,BatchInference,15,18.835858585858585,3.8358585858585847
2387,RegionD,AITraining,126,170.05765993265993,44.05765993265993
2387,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2387,RegionE,BatchInference,68,12.241582491582491,55.75841750841751
2387,RegionE,AITraining,368,121.13257575757575,246.86742424242425
2387,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2387,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2387,RegionF,AITraining,226,122.66287878787878,103.33712121212122
2388,RegionA,RealTimeInference,15,9.838804713804715,5.1611952861952854
2388,RegionA,BatchInference,85,18.751262626262626,66.24873737373737
2388,RegionA,AITraining,103,26.300925925925927,76.69907407407408
2388,RegionB,RealTimeInference,1,8.332912457912458,7.3329124579124585
2388,RegionB,BatchInference,10,18.412037037037038,8.412037037037038
2388,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2388,RegionC,RealTimeInference,0,7.095538720538721,7.095538720538721
2388,RegionC,BatchInference,18,14.478535353535353,3.521464646464647
2388,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2388,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2388,RegionD,BatchInference,33,18.835858585858585,14.164141414141415
2388,RegionD,AITraining,59,170.05765993265993,111.05765993265993
2388,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2388,RegionE,BatchInference,0,12.241582491582491,12.241582491582491
2388,RegionE,AITraining,0,121.13257575757575,121.13257575757575
2388,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2388,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2388,RegionF,AITraining,345,122.66287878787878,222.33712121212122
2389,RegionA,RealTimeInference,14,9.838804713804715,4.1611952861952854
