date,selected_load_window,selected_pv_window,soc_start_kwh,soc_plan_end_kwh,soc_actual_end_kwh,planned_grid_purchase_kwh,emergency_purchase_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_secondary_throughput_kwh,actual_executed_throughput_kwh,actual_end_soc_deficit_kwh,actual_rolling_solve_count,rolling_primary_optimal_count,rolling_secondary_optimal_count,rolling_tertiary_optimal_count,rolling_terminal_gap_min_kwh,rolling_terminal_gap_max_kwh,rolling_terminal_gap_last_kwh,max_actual_executed_constraint_violation,max_rolling_constraint_violation,actual_optimize_seconds,actual_elapsed_seconds,max_plan_constraint_violation,max_actual_constraint_violation,simultaneous_plan_charge_discharge_slots,simultaneous_actual_charge_discharge_slots,risk_error_sample_min,risk_error_sample_max,plan_primary_status,plan_secondary_status,plan_primary_star,plan_primary_recomputed,plan_secondary_objective,plan_violation_nonnegative,plan_violation_soc_bounds,plan_violation_soc_recursion,plan_violation_soc_start_alignment,plan_violation_pv_allocation,plan_violation_charge_limit,plan_violation_discharge_limit,plan_violation_supply,plan_violation_primary_cost_preservation,plan_violation_secondary_objective,plan_violation_terminal_soc,plan_violation_planned_cost_column,plan_violation_grid_purchase_column,actual_violation_nonnegative,actual_violation_soc_bounds,actual_violation_soc_recursion,actual_violation_soc_start_alignment,actual_violation_pv_allocation,actual_violation_charge_limit,actual_violation_discharge_limit,actual_violation_supply,actual_violation_fixed_grid_purchase,actual_violation_planned_cost_column,actual_violation_emergency_cost_column,actual_violation_total_cost_column
2025-02-24,2,5,5605.836682104216,5605.836682104216,5605.8366820042165,77541.60060982166,241.78601508440465,47583.1037604379,1138.699200785763,48721.80296122366,41695.097295678905,37608.593825803786,9.999985195463523e-08,144,144,144,144,0.0,0.0,0.0,5.135979340873837e-12,1.0000535155541002e-07,1.3535812000118312,2.5481199999994715,9.999348549172282e-08,5.135979340873837e-12,0,0,25,25,optimal,optimal,47583.10376033791,47583.1037603379,41695.09729567891,0.0,0.0,8.526512829121202e-13,0.0,0.0,0.0,0.0,0.0,9.999348549172282e-08,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,5.135979340873837e-12,0.0,9.094947017729282e-13,0.0,0.0,5.684341886080801e-13,0.0,2.2737367544323206e-13,0.0,0.0,0.0,9.947598300641403e-14
2025-02-25,2,5,5605.8366820042165,5605.8366820042165,5577.81895332273,77138.52549833004,50.667500187931644,47373.52654026707,226.4122416499747,47599.93878191705,41697.51291049515,36626.56755197444,28.017728681486915,144,144,144,144,0.0,40.58044208424599,28.017728581487688,9.663381206337363e-12,1.0000011508282114e-07,1.3585304000152973,2.5440935000005993,9.997893357649446e-08,9.663381206337363e-12,0,0,26,26,optimal,optimal,47373.52654016709,47373.526540167084,41697.512910495156,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,9.997893357649446e-08,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,2.30602999778587e-12,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,9.663381206337363e-12,2.3874235921539366e-12,4.547473508864641e-13,0.0,0.0,0.0,5.3464555094541534e-14
2025-02-26,2,5,5577.81895332273,5577.81895332273,5580.054721689217,76431.49785889545,14.02602146581447,46887.34970618271,61.6513771415887,46949.0010833243,41470.34702900974,39169.68590852442,0.0,144,144,144,144,0.0,0.0,0.0,2.2943215602249907e-12,1.0000011508282114e-07,1.3538890999952855,2.5417789999992237,1.0000803740695119e-07,2.2943215602249907e-12,0,0,27,27,optimal,optimal,46887.3497060827,46887.3497060827,41470.34702900974,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.0000803740695119e-07,0.0,0.0,0.0,1.1368683772161603e-13,2.2943215602249907e-12,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,0.0,5.067258825485896e-14
2025-02-27,2,5,5580.054721689217,5580.054721689217,5582.290490055706,75820.22800530211,312.8276498213663,46375.2756724284,1492.1136912534193,47867.38936368182,41578.154621283094,41250.54566864964,0.0,144,144,144,144,0.0,0.0,0.0,2.3672881363132897e-12,1.0000023647194212e-07,1.3584276000146929,2.548440499998833,1.00000761449337e-07,2.3672881363132897e-12,0,0,28,28,optimal,optimal,46375.2756723284,46375.2756723284,41578.1546212831,0.0,0.0,7.958078640513122e-13,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,2.3672881363132897e-12,0.0,8.979483823168266e-13,0.0,0.0,1.1368683772161603e-13,0.0,2.2737367544323206e-13,0.0,0.0,0.0,4.297030500726629e-14
2025-02-28,2,5,5582.290490055706,5582.290490055706,5584.526258422194,34508.461592288906,1.8754264237862677e-07,17813.063397563543,4.000264275256995e-07,17813.06339796357,31571.441592737086,31117.063369536787,0.0,144,144,144,144,0.0,0.0,0.0,9.023892744153272e-13,1.0000023647194212e-07,1.3023334999743383,2.499518300002819,9.999348549172282e-08,9.023892744153272e-13,0,0,29,29,optimal,optimal,17813.06339746355,17813.063397463557,31571.441592737086,0.0,0.0,8.526512829121202e-13,0.0,0.0,0.0,0.0,0.0,9.999348549172282e-08,0.0,0.0,0.0,1.1368683772161603e-13,2.676384995413365e-13,0.0,9.023892744153272e-13,0.0,0.0,0.0,0.0,3.410605131648481e-13,0.0,0.0,0.0,1.3873113853541728e-14
2025-03-01,2,5,5584.526258422194,5584.526258422194,5584.526258322194,34215.823301216114,86.86589190734803,17713.55804732429,357.86969648105134,18071.427743805343,30911.562387836886,29337.53578864463,9.999985195463523e-08,144,144,144,144,0.0,0.0,0.0,8.589672183410989e-13,1.0000023647194212e-07,1.2850448999924993,2.50590050000028,1.000043994281441e-07,8.589672183410989e-13,0,0,30,30,optimal,optimal,17713.558047224287,17713.558047224295,30911.56238783689,0.0,0.0,7.958078640513122e-13,0.0,0.0,0.0,0.0,0.0,1.000043994281441e-07,3.637978807091713e-12,0.0,0.0,5.684341886080802e-14,2.998348628008715e-13,0.0,8.589672183410989e-13,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0,0.0,0.0,1.387311385354193e-14
2025-03-02,2,5,5584.526258322194,5584.526258322194,5506.578543925121,74938.80932407829,3453.159250663579,45887.50131837472,12919.748780813086,58807.25009918782,41521.18301758388,42655.11355946693,77.94771439707256,144,144,144,144,0.0,77.94771439707255,77.94771439707255,1.9326762412674725e-12,1.0000167094403878e-07,1.4319561999836878,2.7252737999988312,9.998620953410864e-08,1.9326762412674725e-12,0,0,31,31,optimal,optimal,45887.50131827474,45887.50131827476,41521.183017583884,0.0,0.0,8.384404281969182e-13,0.0,0.0,0.0,0.0,0.0,9.998620953410864e-08,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,2.229923606982758e-13,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.9326762412674725e-12,0.0,0.0,0.0,1.1368683772161603e-13
2025-03-03,2,5,5506.578543925121,5506.578543925121,5474.564681006719,76920.22769327022,1304.878097338596,47183.04765515412,4845.134673316376,52028.1823284705,41805.175320454655,43062.22896720481,32.01386291840208,144,144,144,144,0.0,32.01386291840235,32.01386291840235,2.30602999778587e-12,1.0000030670198612e-07,1.3687877999982447,2.5733169999984966,1.00000761449337e-07,2.30602999778587e-12,0,0,32,32,optimal,optimal,47183.04765505412,47183.04765505413,41805.175320454655,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,2.30602999778587e-12,0.0,9.410743789178217e-13,0.0,0.0,1.2505552149377763e-12,0.0,4.547473508864641e-13,0.0,0.0,0.0,5.684341886080802e-14
2025-03-04,2,5,5474.564681006719,5474.564681006719,5342.810117128227,78824.90616263653,1.8784344375553046e-07,48621.580405325614,3.9998388971434903e-07,48621.580405725595,41711.05874076723,38047.24671844664,131.75456387849226,144,144,144,144,0.0,131.75456387849306,131.75456387849306,2.418661981995978e-12,1.0000035786106309e-07,1.3090787999681197,2.4615219999977853,1.0001531336456537e-07,2.418661981995978e-12,0,0,33,33,optimal,optimal,48621.5804052256,48621.58040522562,41711.05874076723,0.0,0.0,1.1937117960769683e-12,0.0,0.0,0.0,0.0,0.0,1.0001531336456537e-07,0.0,0.0,0.0,1.1368683772161603e-13,2.418661981995978e-12,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,4.481771611865436e-14
2025-03-05,2,5,5342.810117128227,5342.810117128227,5329.441598561677,80143.75409902546,2.1634577037903275e-07,49420.56990199641,8.000075727437433e-07,49420.569902796415,41699.99999076755,34394.442851427135,13.368518566549938,144,144,144,144,0.0,13.368518566549866,13.368518566549866,1.0018652574217413e-12,1e-07,1.3029176000090956,2.487955199998396,1.0002258932217956e-07,1.0018652574217413e-12,0,0,34,34,optimal,optimal,49420.569901896386,49420.56990189641,41699.99999076755,0.0,0.0,9.592326932761353e-13,0.0,0.0,0.0,0.0,0.0,1.0002258932217956e-07,0.0,0.0,0.0,1.1368683772161603e-13,1.0018652574217413e-12,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,2.2168933363126664e-14
