date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_plan_kwh,y_plan_kwh,q_plan_kwh,z_plan_kwh,soc_plan_end_kwh,soc_plan_start_kwh,grid_purchase_plan_kwh,pv_forecast_kwh,risk_adjusted_net_load_kwh,planned_cost_slot_yuan,source_time
2025-03-14,81,0.8618,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1129.41875,-483.3854166666663,0.0,13:30:00
2025-03-14,82,0.8623,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1118.1981933333332,-485.9659733333332,0.0,13:40:00
2025-03-14,83,0.9026,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1084.1119266666665,-468.5508699999998,0.0,13:50:00
2025-03-14,84,0.9754,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1036.61625,-433.59958333333327,0.0,14:00:00
2025-03-14,85,1.0002,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1005.09158,-388.5442433333334,0.0,14:10:00
2025-03-14,86,0.9978,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,973.9873033333333,-348.7373133333333,0.0,14:20:00
2025-03-14,87,1.0271,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,935.9962499999999,-313.0049999999999,0.0,14:30:00
2025-03-14,88,1.0906,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,899.2308833333334,-301.4165733333334,0.0,14:40:00
2025-03-14,89,0.9376,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,854.8094233333334,-281.97141833333353,0.0,14:50:00
2025-03-14,90,0.6694,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,803.2862499999999,-209.13958333333346,0.0,15:00:00
2025-03-14,91,0.66,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,756.4268366666666,-156.90410500000007,0.0,15:10:00
2025-03-14,92,0.7217,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,715.1020133333334,-119.79240083333332,0.0,15:20:00
2025-03-14,93,0.7308,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,674.3712499999999,-112.24416666666673,0.0,15:30:00
2025-03-14,94,0.7534,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,628.33188,-49.568313333333435,0.0,15:40:00
2025-03-14,95,0.7823,5212.769321217816,0.0,16.306203333333542,0.0,0.0,10800.0,10800.0,16.306203333333542,578.9289333333332,16.306203333333542,12.75634286766683,15:50:00
2025-03-14,96,0.8055,5212.769321217816,0.0,47.84124999999983,0.0,0.0,10800.0,10800.0,47.84124999999983,529.1175,47.84124999999983,38.536126874999866,16:00:00
2025-03-14,97,0.8271,5212.769321217816,0.0,91.25120500000008,0.0,0.0,10800.0,10800.0,91.25120500000008,479.72848000000005,91.25120500000008,75.47387165550006,16:10:00
2025-03-14,98,0.8519,5212.769321217816,0.0,134.2804583333335,0.0,0.0,10800.0,10800.0,134.2804583333335,427.2568799999999,134.2804583333335,114.39352245416681,16:20:00
2025-03-14,99,0.8791,5212.769321217816,0.0,183.58499999999975,0.0,0.0,10800.0,10800.0,183.58499999999975,372.23125,183.58499999999975,161.38957349999978,16:30:00
2025-03-14,100,0.9024,5212.769321217816,0.0,268.13531833333343,0.0,0.0,10800.0,10800.0,268.13531833333343,318.7632433333333,268.13531833333343,241.9653112640001,16:40:00
2025-03-14,101,0.9163,5212.769321217816,0.0,275.0962133333333,0.0,0.0,10800.0,10800.0,275.0962133333333,265.07770666666664,275.0962133333333,252.0706602773333,16:50:00
2025-03-14,102,0.9264,5212.769321217816,0.0,249.66583333333324,0.0,0.0,10800.0,10800.0,249.66583333333324,212.59249999999997,249.66583333333324,231.2904279999999,17:00:00
2025-03-14,103,0.9462,5212.769321217816,0.0,292.3809033333332,0.0,0.0,10800.0,10800.0,292.3809033333332,165.45575,292.3809033333332,276.6508107339999,17:10:00
2025-03-14,104,0.9742,5212.769321217816,0.0,341.4236027777779,0.0,0.0,10800.0,10800.0,341.4236027777779,119.9694,341.4236027777779,332.6148738261112,17:20:00
2025-03-14,105,0.9862,5212.769321217816,0.0,367.8125,0.0,0.0,10800.0,10800.0,367.8125,73.065,367.8125,362.73668749999996,17:30:00
2025-03-14,106,0.976,5212.769321217816,0.0,419.5837849999998,0.0,0.0,10800.0,10800.0,419.5837849999998,28.22987333333333,419.5837849999998,409.5137741599998,17:40:00
2025-03-14,107,1.0742,5212.769321217816,0.0,132.58565055555584,0.0,324.04399111111087,10439.951120987655,10800.0,132.58565055555584,3.827256666666666,456.6296416666667,142.4235058267781,17:50:00
2025-03-14,108,1.2313,5212.769321217816,0.0,0.0,0.0,472.3749999999999,9915.090009876543,10439.951120987655,0.0,0.0,472.3749999999999,0.0,18:00:00
2025-03-14,109,1.2561,5212.769321217816,0.0,0.0,0.0,450.05773833333336,9415.025856172839,9915.090009876543,0.0,0.15462666666666663,450.05773833333336,0.0,18:10:00
2025-03-14,110,1.2447,5212.769321217816,0.0,0.0,0.0,440.67427833333335,8925.387769135801,9415.025856172839,0.0,0.06236666666666667,440.67427833333335,0.0,18:20:00
2025-03-14,111,1.2545,5212.769321217816,0.0,0.0,0.0,455.67166666666674,8419.08591728395,8925.387769135801,0.0,0.0,455.67166666666674,0.0,18:30:00
2025-03-14,112,1.2522,5212.769321217816,0.0,0.0,0.0,454.84478,7913.702828395061,8419.08591728395,0.0,0.011103333333333333,454.84478,0.0,18:40:00
2025-03-14,113,1.2881,5212.769321217816,0.0,0.0,0.0,457.81314,7405.021561728395,7913.702828395061,0.0,0.00446,457.81314,0.0,18:50:00
2025-03-14,114,1.3466,5212.769321217816,0.0,0.0,0.0,469.36249999999984,6883.507672839506,7405.021561728395,0.0,0.0,469.36249999999984,0.0,19:00:00
2025-03-14,115,1.3523,5212.769321217816,0.0,0.0,0.0,467.47652166666677,6364.089315432098,6883.507672839506,0.0,0.0007966666666666667,467.47652166666677,0.0,19:10:00
2025-03-14,116,1.3445,5212.769321217816,0.0,0.0,0.0,458.6239399999999,5854.507159876543,6364.089315432098,0.0,0.00031999999999999997,458.6239399999999,0.0,19:20:00
2025-03-14,117,1.3483,5212.769321217816,0.0,0.0,0.0,463.45138888888886,5339.561172222222,5854.507159876543,0.0,0.0,463.45138888888886,0.0,19:30:00
2025-03-14,118,1.349,5212.769321217816,0.0,0.0,0.0,464.3898466666665,4823.572453703704,5339.561172222222,0.0,3.6666666666666666e-05,464.3898466666665,0.0,19:40:00
2025-03-14,119,1.3473,5212.769321217816,0.0,0.0,0.0,460.3911916666667,4312.026685185186,4823.572453703704,0.0,0.0,460.3911916666667,0.0,19:50:00
2025-03-14,120,1.3482,5212.769321217816,0.0,0.0,0.0,458.28749999999997,3802.818351851852,4312.026685185186,0.0,0.0,458.28749999999997,0.0,20:00:00
2025-03-14,121,1.3513,5212.769321217816,0.0,0.0,0.0,450.731,3302.00612962963,3802.818351851852,0.0,0.0,450.731,0.0,20:10:00
2025-03-14,122,1.34,5212.769321217816,0.0,0.0,0.0,466.4247500000001,2783.7564074074076,3302.00612962963,0.0,0.0,466.4247500000001,0.0,20:20:00
2025-03-14,123,1.3489,5212.769321217816,0.0,0.0,0.0,485.48750000000007,2244.325851851852,2783.7564074074076,0.0,0.0,485.48750000000007,0.0,20:30:00
2025-03-14,124,1.3952,5212.769321217816,0.0,0.0,0.0,470.669125,1721.3601574074073,2244.325851851852,0.0,0.0,470.669125,0.0,20:40:00
2025-03-14,125,1.2226,5212.769321217816,0.0,0.0,0.0,469.2241416666666,1200.0,1721.3601574074073,0.0,0.0,469.2241416666666,0.0,20:50:00
2025-03-14,126,0.9332,5212.769321217816,0.0,503.7366666666666,0.0,0.0,1200.0,1200.0,503.7366666666666,0.0,503.7366666666666,470.0870573333333,21:00:00
2025-03-14,127,0.9068,5212.769321217816,0.0,516.3988916666666,0.0,0.0,1200.0,1200.0,516.3988916666666,0.0,516.3988916666666,468.2705149633333,21:10:00
2025-03-14,128,0.9371,5212.769321217816,0.0,497.98954999999995,0.0,0.0,1200.0,1200.0,497.98954999999995,0.0,497.98954999999995,466.666007305,21:20:00
2025-03-14,129,0.9371,5212.769321217816,0.0,477.81749999999994,0.0,0.0,1200.0,1200.0,477.81749999999994,0.0,477.81749999999994,447.76277924999994,21:30:00
2025-03-14,130,0.9871,5212.769321217816,0.0,503.5409749999999,0.0,0.0,1200.0,1200.0,503.5409749999999,0.0,503.5409749999999,497.04529642249986,21:40:00
2025-03-14,131,0.7764,5212.769321217816,0.0,487.92806666666667,0.0,0.0,1200.0,1200.0,487.92806666666667,0.0,487.92806666666667,378.82735096,21:50:00
2025-03-14,132,0.4209,5212.769321217816,833.3333333333334,425.55500000000006,0.0,0.0,1950.0,1200.0,1258.8883333333333,0.0,425.55500000000006,529.8660995,22:00:00
2025-03-14,133,0.3859,5212.769321217816,833.3333333333334,392.71572499999996,0.0,0.0,2700.0,1950.0,1226.0490583333333,0.0,392.71572499999996,473.1323316108333,22:10:00
2025-03-14,134,0.4368,5212.769321217816,0.0,398.1641333333334,0.0,0.0,2700.0,2700.0,398.1641333333334,0.0,398.1641333333334,173.91809344000004,22:20:00
2025-03-14,135,0.4198,5212.769321217816,833.3333333333334,404.27750000000003,0.0,0.0,3450.0,2700.0,1237.6108333333334,0.0,404.27750000000003,519.5490278333334,22:30:00
2025-03-14,136,0.4186,5212.769321217816,833.3333333333334,387.3734166666666,0.0,0.0,4200.0,3450.0,1220.70675,0.0,387.3734166666666,510.98784555000003,22:40:00
2025-03-14,137,0.4241,5212.769321217816,0.0,376.6704333333333,0.0,0.0,4200.0,4200.0,376.6704333333333,0.0,376.6704333333333,159.74593077666663,22:50:00
2025-03-14,138,0.4237,5212.769321217816,291.9659124642395,391.4116666666666,0.0,0.0,4462.769321217816,4200.0,683.377579130906,0.0,391.4116666666666,289.5470802777649,23:00:00
2025-03-14,139,0.4248,5212.769321217816,0.0,411.97912499999995,0.0,0.0,4462.769321217816,4462.769321217816,411.97912499999995,0.0,411.97912499999995,175.0087323,23:10:00
2025-03-14,140,0.424,5212.769321217816,0.0,433.80979166666657,0.0,0.0,4462.769321217816,4462.769321217816,433.80979166666657,0.0,433.80979166666657,183.93535166666663,23:20:00
2025-03-14,141,0.422,5212.769321217816,833.3333333333334,432.71250000000003,0.0,0.0,5212.769321217816,4462.769321217816,1266.0458333333333,0.0,432.71250000000003,534.2713416666667,23:30:00
2025-03-14,142,0.424,5212.769321217816,0.0,408.3283833333332,0.0,0.0,5212.769321217816,5212.769321217816,408.3283833333332,0.0,408.3283833333332,173.13123453333327,23:40:00
2025-03-14,143,0.4271,5212.769321217816,0.0,405.67212499999994,0.0,0.0,5212.769321217816,5212.769321217816,405.67212499999994,0.0,405.67212499999994,173.26256458749995,23:50:00
2025-03-14,144,0.4276,5212.769321217816,0.0,430.5091666666667,0.0,0.0,5212.769321217816,5212.769321217816,430.5091666666667,0.0,430.5091666666667,184.08571966666668,0:00+1
2025-03-15,1,0.4248,5212.769321117816,0.0,440.0959000000001,0.0,0.0,5212.769321117816,5212.769321117816,440.0959000000001,0.0,440.0959000000001,186.95273832000004,00:10:00
2025-03-15,2,0.4245,5212.769321117816,0.0,430.86289166666666,0.0,0.0,5212.769321117816,5212.769321117816,430.86289166666666,0.0,430.86289166666666,182.90129751249998,00:20:00
2025-03-15,3,0.4269,5212.769321117816,0.0,414.43416666666656,0.0,0.0,5212.769321117816,5212.769321117816,414.43416666666656,0.0,414.43416666666656,176.92194574999996,00:30:00
2025-03-15,4,0.4272,5212.769321117816,0.0,420.64626250000003,0.0,0.0,5212.769321117816,5212.769321117816,420.64626250000003,0.0,420.64626250000003,179.70008334000002,00:40:00
2025-03-15,5,0.4271,5212.769321117816,0.0,435.30842499999994,0.0,0.0,5212.769321117816,5212.769321117816,435.30842499999994,0.0,435.30842499999994,185.92022831749998,00:50:00
2025-03-15,6,0.4285,5212.769321117816,0.0,434.47249999999997,0.0,0.0,5212.769321117816,5212.769321117816,434.47249999999997,0.0,434.47249999999997,186.17146624999998,01:00:00
2025-03-15,7,0.4311,5212.769321117816,0.0,411.7544083333333,0.0,0.0,5212.769321117816,5212.769321117816,411.7544083333333,0.0,411.7544083333333,177.50732543249998,01:10:00
2025-03-15,8,0.4302,5212.769321117816,0.0,418.498425,0.0,0.0,5212.769321117816,5212.769321117816,418.498425,0.0,418.498425,180.03802243500002,01:20:00
2025-03-15,9,0.4279,5212.769321117816,0.0,435.82916666666654,0.0,0.0,5212.769321117816,5212.769321117816,435.82916666666654,0.0,435.82916666666654,186.4913004166666,01:30:00
2025-03-15,10,0.4312,5212.769321117816,0.0,441.8462,0.0,0.0,5212.769321117816,5212.769321117816,441.8462,0.0,441.8462,190.52408144,01:40:00
2025-03-15,11,0.4333,5212.769321117816,0.0,436.7018083333333,0.0,0.0,5212.769321117816,5212.769321117816,436.7018083333333,0.0,436.7018083333333,189.22289355083333,01:50:00
2025-03-15,12,0.4311,5212.769321117816,0.0,453.4725,0.0,0.0,5212.769321117816,5212.769321117816,453.4725,0.0,453.4725,195.49199475,02:00:00
2025-03-15,13,0.4293,5212.769321117816,0.0,457.82579166666653,0.0,0.0,5212.769321117816,5212.769321117816,457.82579166666653,0.0,457.82579166666653,196.54461236249995,02:10:00
2025-03-15,14,0.4324,5212.769321117816,0.0,452.3534166666667,0.0,0.0,5212.769321117816,5212.769321117816,452.3534166666667,0.0,452.3534166666667,195.5976173666667,02:20:00
2025-03-15,15,0.4367,5212.769321117816,0.0,445.1016666666666,0.0,0.0,5212.769321117816,5212.769321117816,445.1016666666666,0.0,445.1016666666666,194.37589783333328,02:30:00
2025-03-15,16,0.4348,5212.769321117816,0.0,441.4791249999999,0.0,0.0,5212.769321117816,5212.769321117816,441.4791249999999,0.0,441.4791249999999,191.95512354999997,02:40:00
2025-03-15,17,0.4335,5212.769321117816,0.0,440.47524999999985,0.0,0.0,5212.769321117816,5212.769321117816,440.47524999999985,0.0,440.47524999999985,190.94602087499993,02:50:00
2025-03-15,18,0.4357,5212.769321117816,0.0,436.29583333333323,0.0,0.0,5212.769321117816,5212.769321117816,436.29583333333323,0.0,436.29583333333323,190.0940945833333,03:00:00
2025-03-15,19,0.4374,5212.769321117816,0.0,425.218175,0.0,0.0,5212.769321117816,5212.769321117816,425.218175,0.0,425.218175,185.990429745,03:10:00
2025-03-15,20,0.4371,5212.769321117816,0.0,438.27452500000004,0.0,0.0,5212.769321117816,5212.769321117816,438.27452500000004,0.0,438.27452500000004,191.56979487750002,03:20:00
2025-03-15,21,0.4356,5212.769321117816,0.0,456.78833333333336,0.0,0.0,5212.769321117816,5212.769321117816,456.78833333333336,0.0,456.78833333333336,198.976998,03:30:00
2025-03-15,22,0.4353,5212.769321117816,0.0,446.1249916666667,0.0,0.0,5212.769321117816,5212.769321117816,446.1249916666667,0.0,446.1249916666667,194.19820887250003,03:40:00
2025-03-15,23,0.436,5212.769321117816,0.0,438.2991083333333,0.0,0.0,5212.769321117816,5212.769321117816,438.2991083333333,0.0,438.2991083333333,191.09841123333334,03:50:00
2025-03-15,24,0.4378,5212.769321117816,0.0,465.7316666666667,0.0,0.0,5212.769321117816,5212.769321117816,465.7316666666667,0.0,465.7316666666667,203.8973236666667,04:00:00
2025-03-15,25,0.4401,5212.769321117816,0.0,468.1630583333333,0.0,0.0,5212.769321117816,5212.769321117816,468.1630583333333,0.0,468.1630583333333,206.0385619725,04:10:00
2025-03-15,26,0.4389,5212.769321117816,0.0,448.3650458333333,0.0,0.0,5212.769321117816,5212.769321117816,448.3650458333333,0.0,448.3650458333333,196.78741861625,04:20:00
2025-03-15,27,0.4364,5212.769321117816,0.0,438.48625,0.0,0.0,5212.769321117816,5212.769321117816,438.48625,0.0,438.48625,191.3553995,04:30:00
2025-03-15,28,0.4393,5212.769321117816,0.0,442.5178766666667,0.0,0.0,5212.769321117816,5212.769321117816,442.5178766666667,0.0006066666666666666,442.5178766666667,194.3981032196667,04:40:00
2025-03-15,29,0.4422,5212.769321117816,0.0,464.4895183333333,0.0,0.0,5212.769321117816,5212.769321117816,464.4895183333333,0.00014333333333333334,464.4895183333333,205.397265007,04:50:00
2025-03-15,30,0.4395,5212.769321117816,0.0,464.69416666666666,0.0,0.0,5212.769321117816,5212.769321117816,464.69416666666666,0.0,464.69416666666666,204.23308624999999,05:00:00
2025-03-15,31,0.4333,5212.769321117816,0.0,442.7648383333334,0.0,0.0,5212.769321117816,5212.769321117816,442.7648383333334,0.008436666666666665,442.7648383333334,191.85000444983336,05:10:00
2025-03-15,32,0.4439,5212.769321117816,0.0,438.07485666666656,0.0,0.0,5212.769321117816,5212.769321117816,438.07485666666656,0.0020033333333333335,438.07485666666656,194.4614288743333,05:20:00
2025-03-15,33,0.4301,5212.769321117816,0.0,446.60999999999996,0.0,0.0,5212.769321117816,5212.769321117816,446.60999999999996,0.0,446.60999999999996,192.08696099999997,05:30:00
2025-03-15,34,0.3713,5212.769321117816,140.31668531402522,461.55507111111103,0.0,0.0,5339.054337900438,5212.769321117816,601.8717564251363,0.11767333333333334,461.55507111111103,223.4749831606531,05:40:00
2025-03-15,35,0.5708,5212.769321117816,0.0,8.896049948238262e-07,0.0,459.11229077706145,4828.92957037037,5339.054337900438,8.896049948238262e-07,0.027899999999999998,459.11229166666675,5.077865310454399e-07,05:50:00
2025-03-15,36,0.9099,5212.769321117816,0.0,0.0,0.0,455.55500000000023,4322.757348148148,4828.92957037037,0.0,0.0,455.55500000000023,0.0,06:00:00
2025-03-15,37,0.9368,5212.769321117816,0.0,0.0,0.0,452.0151333333333,3820.518311111111,4322.757348148148,0.0,6.31522,452.0151333333333,0.0,06:10:00
2025-03-15,38,0.8758,5212.769321117816,0.0,0.0,0.0,426.31748500000003,3346.832216666666,3820.518311111111,0.0,32.969739999999994,426.31748500000003,0.0,06:20:00
2025-03-15,39,0.8759,5212.769321117816,0.0,0.0,0.0,369.93000000000006,2935.798883333333,3346.832216666666,0.0,78.66499999999999,369.93000000000006,0.0,06:30:00
