Region,Hour,GPU_Used,AI_IT_Power_MW,Available_GPU,GPU_Utilization,NonAI_IT_Load_MW,Total_IT_Power_MW,Max_IT_Power_MW,PUE,Facility_Power_MW,Max_Facility_Power_MW
RegionE,2401,103.649999999999,16.04499999999992,1012,0.1024209486165998,382.138333,398.1833329999999,560,1.25,497.7291662499999,700.0
RegionF,2401,155.433333333338,24.2833333333338,966,0.16090407177364183,314.83,339.1133333333338,540,1.27,430.67393333333393,685.8
RegionA,2402,170.266666666664,24.021333333333082,630,0.27026455026454604,395.664,419.68533333333306,420,1.35,566.5751999999997,567.0
RegionB,2402,127.03333333333501,20.0593333333335,585,0.217150997151,361.789333,381.8486663333335,410,1.35,515.4956995500003,553.5
RegionC,2402,226.216666666679,34.31066666666864,540,0.4189197530864426,357.1,391.41066666666865,405,1.38,540.1467200000027,558.9
RegionD,2402,99.166666666666,15.4826666666661,1472,0.0673686594202894,309.091667,324.57433366666606,720,1.28,415.4551470933326,921.6
RegionE,2402,60.166666666635,9.6266666666616,1012,0.05945322793145751,382.82,392.4466666666616,560,1.25,490.558333333327,700.0
RegionF,2402,136.41666666667498,21.506666666668,966,0.14121808143548134,319.95,341.456666666668,540,1.27,433.6499666666684,685.8
RegionA,2403,152.533333333331,22.379666666666484,630,0.24211640211639843,392.285,414.6646666666665,420,1.35,559.7972999999998,567.0
RegionB,2403,115.0,18.400000000000002,585,0.19658119658119658,363.532,381.93199999999996,410,1.35,515.6082,553.5
RegionC,2403,157.466666666676,23.99466666666816,540,0.2916049382716222,357.1,381.09466666666816,405,1.38,525.910640000002,558.9
RegionD,2403,13.333333333328,2.1333333333324798,1472,0.00905797101448913,310.994333,313.12766633333246,720,1.28,400.8034129066655,921.6
RegionE,2403,0.0,0.0,1012,0.0,390.24,390.24,560,1.25,487.8,700.0
RegionF,2403,62.666666666668,9.89333333333344,966,0.06487232574189233,331.53,341.4233333333334,540,1.27,433.6076333333334,685.8
RegionA,2404,17.416666666709,1.78266666667332,630,0.02764550264556984,390.553333,392.33599966667333,420,1.35,529.6535995500091,567.0
RegionB,2404,115.0,18.400000000000002,585,0.19658119658119658,364.354667,382.754667,410,1.35,516.71880045,553.5
RegionC,2404,9.866666666700999,1.4786666666725599,540,0.018271604938335184,355.5,356.97866666667255,405,1.38,492.6305600000081,558.9
RegionD,2404,0.0,0.0,1472,0.0,357.345667,357.345667,720,1.28,457.40245376,921.6
RegionE,2404,0.0,0.0,1012,0.0,376.258333,376.258333,560,1.25,470.32291625,700.0
RegionF,2404,0.0,0.0,966,0.0,339.75,339.75,540,1.27,431.4825,685.8
RegionA,2405,2.4,0.192,630,0.0038095238095238095,390.19,390.382,420,1.35,527.0157,567.0
RegionB,2405,17.25,2.7600000000000002,585,0.029487179487179487,376.153333,378.91333299999997,410,1.35,511.53299955,553.5
RegionC,2405,0.0,0.0,540,0.0,362.527333,362.527333,405,1.38,500.28771953999996,558.9
RegionD,2405,0.0,0.0,1472,0.0,359.761333,359.761333,720,1.28,460.49450623999996,921.6
RegionE,2405,0.0,0.0,1012,0.0,402.854,402.854,560,1.25,503.5675,700.0
RegionF,2405,0.0,0.0,966,0.0,374.923333,374.923333,540,1.27,476.15263291,685.8
